tag,map,range_mult,seed,K,kind,hidden_leth,conceal_reach,n_conceal,phi,R,H,mean_known,eq_static,forgetful_opt,forgetful_cap,forgetful_blind,forgetful_revealed,forgetful_G1,forgetful_G2,forgetful_G_conceal,forgetful_degenerate,persistent_opt,persistent_cap,persistent_blind,persistent_revealed,persistent_G1,persistent_G2,persistent_G_conceal,persistent_degenerate,persistent_blind_arm,persistent_revealed_arm,opt_T10,opt_T20,opt_T40,opt_T80
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,0.4,0.43,0,0.174,26,200,0.3476,0.001221,0.00718,0.030803,0.124177,0.103783,4.289915,14.45359,1.196514,False,0.006936,0.030312,0.124608,0.026707,4.370045,3.850341,4.665745,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top3,0.006204,0.006691,0.006936,0.007058
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,0.4,0.43,0,0.174,26,200,0.6672,0.019665,0.020555,0.121292,0.287754,0.127038,5.900787,6.180324,2.265103,False,0.019993,0.119523,0.287705,0.106549,5.978267,5.329331,2.700216,False,blind_anti_uniform_full,revealed_uniform_full_anti_top2,0.018306,0.019393,0.019993,0.020265
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,mixed,0.6,0.43,0,0.174,26,200,0.6213,0.011924,0.027526,0.112696,0.120617,0.081496,4.09415,2.960683,1.480028,False,0.026504,0.110865,0.12138,0.071962,4.182986,2.715151,1.686733,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top2,0.023424,0.025481,0.026504,0.027015
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,0.6,0.43,0,0.174,26,200,0.3476,0.001276,0.007303,0.027237,0.123825,0.103842,3.729595,14.219152,1.192431,False,0.007055,0.026673,0.124245,0.02682,3.780939,3.801822,4.632518,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top3,0.006309,0.006808,0.007055,0.007179
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,0.6,0.43,0,0.174,26,200,0.6672,0.019665,0.02106,0.119969,0.286867,0.126644,5.69662,6.01355,2.265153,False,0.020479,0.117968,0.286818,0.106202,5.760389,5.185854,2.700696,False,blind_anti_uniform_full,revealed_uniform_full_anti_top2,0.018737,0.019857,0.020479,0.020759
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,mixed,0.8,0.43,0,0.174,26,200,0.6213,0.011925,0.027614,0.112831,0.12033,0.081346,4.086039,2.945854,1.479229,False,0.026578,0.110992,0.121088,0.071903,4.17607,2.705354,1.684044,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top2,0.023456,0.025545,0.026578,0.027096
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,0.8,0.43,0,0.174,26,200,0.3476,0.001333,0.007462,0.031739,0.123502,0.103927,4.253545,13.928006,1.188357,False,0.007209,0.031208,0.123904,0.027004,4.329122,3.745904,4.588391,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top3,0.00645,0.006956,0.007209,0.007335
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,0.8,0.43,0,0.174,26,200,0.6672,0.019665,0.021509,0.122044,0.285994,0.126273,5.674018,5.870638,2.26488,False,0.020912,0.120428,0.285945,0.105871,5.758675,5.062601,2.700885,False,blind_anti_uniform_full,revealed_uniform_full_anti_top2,0.019122,0.020264,0.020912,0.021198
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,mixed,1.0,0.43,0,0.174,26,200,0.6213,0.011926,0.027663,0.113145,0.120021,0.081257,4.090122,2.93737,1.477057,False,0.026617,0.111292,0.120773,0.071828,4.181275,2.698583,1.681432,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top2,0.02346,0.025574,0.026617,0.027141
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,1.0,0.43,0,0.174,26,200,0.3476,0.001394,0.00766,0.03327,0.123047,0.10392,4.343256,13.566211,1.184058,False,0.007402,0.032515,0.123432,0.027276,4.393009,3.685134,4.525318,False,blind_anti_uniform_lanes,revealed_uniform_full_anti_top3,0.006626,0.007142,0.007402,0.007531
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,1.0,0.43,0,0.174,26,200,0.6672,0.019665,0.021898,0.123769,0.285369,0.126288,5.651966,5.767024,2.259661,False,0.02128,0.122026,0.285319,0.105506,5.734261,4.95794,2.704302,False,blind_anti_uniform_full,revealed_uniform_full_anti_top2,0.019426,0.020595,0.02128,0.021572
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,random,0.4,0.43,0,0.174,26,200,0.4083,0.00046,0.003608,0.008903,0.129516,0.092676,2.467416,25.685769,1.397523,True,0.003612,0.008697,0.12952,0.021603,2.407568,5.980485,5.995467,True,blind_anti_uniform_full,revealed_uniform_lanes,0.003625,0.003612,0.003612,0.003609
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,random,0.4,0.43,0,0.174,26,200,0.5207,0.013837,0.030311,0.103183,0.144682,0.101354,3.404121,3.343791,1.427494,False,0.029409,0.101513,0.144678,0.081562,3.451739,2.773348,1.773843,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.026704,0.028524,0.029409,0.029864
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,random,0.4,0.43,0,0.174,26,200,0.0,0.000886,0.003194,0.024576,0.051793,0.051793,7.695394,16.21806,1.0,True,0.003143,0.024597,0.051915,0.051915,7.824847,16.515064,1.0,True,blind_anti_uniform_lanes,revealed_uniform_lanes_anti,0.002993,0.003094,0.003143,0.003169
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,random,0.6,0.43,0,0.174,26,200,0.4083,0.000468,0.003826,0.00895,0.12952,0.092771,2.339287,24.247427,1.396128,True,0.003811,0.008741,0.129523,0.021642,2.293437,5.678399,5.98474,True,blind_anti_uniform_full,revealed_uniform_lanes,0.003767,0.003791,0.003811,0.003817
